;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
PRECIOS  PROMEDIO A CONSUMIDOR FINAL EN CIUDAD CAPITAL;;;;;;;;;;
;;;;;;;;;;
FECHA;Tipo de Cambio;Superior;Regular;Diesel;Bunker;Glp Cilindro 25Lbs.;;;;
;GTQ/USD;GTQ/GALON;GTQ/GALON;GTQ/GALON;GTQ/GALON;GTQ/CIL 25 LB;GTQ/LB;;;
28/jun/2022;7,75980; 39,43 ; 38,43 ; 36,40 ; 23,52 ; 122,00 ; 4,88 ;;;
29/jun/2022;7,75819; 39,43 ; 38,43 ; 36,40 ; 23,52 ; 122,00 ; 4,88 ;;;
30/jun/2022;7,75608; 39,43 ; 38,43 ; 36,40 ; 23,52 ; 122,00 ; 4,88 ;;;
01/jul/2022;7,75608; 39,43 ; 38,43 ; 36,40 ; 23,52 ; 122,00 ; 4,88 ;;;
02/jul/2022;7,75608; 39,43 ; 38,43 ; 36,40 ; 23,52 ; 122,00 ; 4,88 ;;;
03/jul/2022;7,75608; 39,43 ; 38,43 ; 36,40 ; 23,52 ; 122,00 ; 4,88 ;;;
04/jul/2022;7,75608; 39,43 ; 38,43 ; 36,40 ; 23,52 ; 122,00 ; 4,88 ;;;
05/jul/2022;7,75281; 39,17 ; 38,17 ; 33,88 ; 23,09 ; 122,00 ; 4,88 ;;;
06/jul/2022;7,74979; 39,17 ; 38,17 ; 33,88 ; 23,09 ; 122,00 ; 4,88 ;;;
07/jul/2022;7,74659; 39,17 ; 38,17 ; 33,88 ; 23,09 ; 122,00 ; 4,88 ;;;
08/jul/2022;7,74712; 39,17 ; 38,17 ; 33,88 ; 23,09 ; 122,00 ; 4,88 ;;;
09/jul/2022;7,74712; 39,17 ; 38,17 ; 33,88 ; 23,09 ; 122,00 ; 4,88 ;;;
10/jul/2022;7,74712; 39,17 ; 38,17 ; 33,88 ; 23,09 ; 122,00 ; 4,88 ;;;
