FECHA;Tipo de Cambio;Superior;Regular;Diesel;Bunker;Glp Cilindro 25Lbs.;;;;;
12/jul/2023;7,84570; 33,51 ; 32,01 ; 26,96 ; 19,45 ; 135,00 ; 5,40 ;;;;
13/jul/2023;7,84314; 33,51 ; 32,01 ; 26,96 ; 19,45 ; 135,00 ; 5,40 ;;;;
14/jul/2023;7,84812; 33,51 ; 32,01 ; 26,96 ; 19,45 ; 135,00 ; 5,40 ;;;;
15/jul/2023;7,84812; 33,51 ; 32,01 ; 26,96 ; 19,45 ; 135,00 ; 5,40 ;;;;
16/jul/2023;7,84812; 33,51 ; 32,01 ; 26,96 ; 19,45 ; 135,00 ; 5,40 ;;;;
17/jul/2023;7,84281; 33,78 ; 32,28 ; 27,47 ; 19,20 ; 135,00 ; 5,40 ;;;;
18/jul/2023;7,84349; 33,78 ; 32,28 ; 27,47 ; 19,20 ; 135,00 ; 5,40 ;;;;
19/jul/2023;7,84612; 33,78 ; 32,28 ; 27,47 ; 19,20 ; 135,00 ; 5,40 ;;;;
20/jul/2023;7,84814; 33,78 ; 32,28 ; 27,47 ; 19,20 ; 135,00 ; 5,40 ;;;;
21/jul/2023;7,84913; 33,78 ; 32,28 ; 27,47 ; 19,20 ; 135,00 ; 5,40 ;;;;
22/jul/2023;7,84913; 33,78 ; 32,28 ; 27,47 ; 19,20 ; 135,00 ; 5,40 ;;;;
23/jul/2023;7,84913; 33,78 ; 32,28 ; 27,47 ; 19,20 ; 135,00 ; 5,40 ;;;;
24/jul/2023;7,84918; 34,78 ; 33,28 ; 28,47 ; 19,44 ; 135,00 ; 5,40 ;;;;
25/jul/2023;7,84857; 34,78 ; 33,28 ; 28,47 ; 19,44 ; 135,00 ; 5,40 ;;;;
26/jul/2023;7,85244; 34,78 ; 33,28 ; 28,47 ; 19,44 ; 135,00 ; 5,40 ;;;;
27/jul/2023;7,86393; 34,78 ; 33,28 ; 28,47 ; 19,44 ; 135,00 ; 5,40 ;;;;
